"","GSM616583","GSM616584","GSM616585","GSM616586","GSM616587","GSM616588","GSM616589","GSM616590","GSM616591","GSM616592","GSM616593","GSM616594","GSM616595","GSM616596","GSM616597","GSM616598","GSM616599","GSM616600","GSM616601","GSM616602","GSM616603","GSM616604","GSM616605","GSM616606","GSM616607","GSM616608","GSM616609","GSM616610","GSM616611","GSM616612","GSM616613","GSM616614","GSM616615","GSM616616","GSM616617","GSM616618","GSM616619","GSM616620","GSM616621","GSM616622","GSM616623","GSM616624","GSM616625","GSM616626","GSM616627","GSM616628","GSM616629","GSM616630","GSM616631","GSM616632","GSM616633","GSM616634","GSM616635","GSM616636","GSM616637","GSM616638","GSM616639","GSM616640","GSM616641","GSM616642","GSM616643","GSM616644","GSM616645","GSM616646","GSM616647","GSM616648","GSM616649","GSM616650","GSM616651","GSM616652","GSM616653","GSM616654","GSM616655","GSM616656","GSM616657","GSM616658","GSM616659","GSM616660","GSM616661"
"GSM616593",0.936631072257274,0.961504281244607,0.95586836562345,0.956558067245613,0.926528668779705,0.962032272277548,0.941790927490458,0.972537846098879,0.933957185693538,0.913708621202878,1,0.971691242524428,0.953990902080745,0.929656040876797,0.944900187945079,0.940549399539037,0.92214918359581,0.946564522770325,0.966557289425382,0.956675037999015,0.952808097916996,0.965743528803466,0.894680411700149,0.88534237429434,0.932005170274788,0.919575465986057,0.903700581738858,0.902227078855536,0.876671158685788,0.894340162232671,0.857680137731099,0.873298135230695,0.906777375746914,0.939174029920481,0.910365534921873,0.888145003025365,0.890866608702154,0.920988374089242,0.897374759551515,0.869588518500336,0.917552593752707,0.895736751907408,0.903572802148745,0.900871018053144,0.916508833825375,0.871360925723932,0.873452063632924,0.867178026228293,0.917461965384015,0.886806527629919,0.883494652022231,0.882693814039074,0.900737742469678,0.885521223218351,0.9209446422892,0.89267872645235,0.895767969642244,0.905793405397977,0.912471800144341,0.851190492496026,0.893812203354353,0.84962374828651,0.908592573970638,0.831908105043371,0.814635373789539,0.889477269704558,0.871307646326201,0.855708793472864,0.851051999869306,0.828405414420321,0.839068720949047,0.814570832937286,0.821726405118115,0.889991418634561,0.889369827113652,0.845950634845744,0.822171609432167,0.924666392093451,0.900984605103957
"GSM616594",0.945603504374871,0.970052391829981,0.960757904176947,0.957297368212481,0.944588295341585,0.957781128383949,0.939988817936158,0.961753815318538,0.953092002908528,0.935849010676609,0.971691242524428,1,0.964532897427801,0.94894938577461,0.958788537202952,0.954426521808629,0.938577463178262,0.939332441612606,0.957541250307141,0.955882433213006,0.943968269837326,0.963838652269914,0.90469201644696,0.894805397147912,0.936410621925143,0.931683593466119,0.9056752731294,0.912547006518133,0.882943536480496,0.907206975542512,0.865793077990112,0.888759156066958,0.924471592878024,0.925098046927851,0.919888632482381,0.898331879845536,0.901767883856462,0.914042276466386,0.907562444388443,0.882920118871366,0.920139053485202,0.897493395483426,0.916010524349287,0.89056091690521,0.921634898202054,0.882987645712477,0.884524707758065,0.888043636223714,0.921578620969416,0.894529678951786,0.898169473199201,0.885484792357892,0.907462762177937,0.891021904450513,0.921927275080632,0.907844238220313,0.906753865074273,0.907014581021037,0.918067118055015,0.880582313291571,0.895004432219758,0.866750193135447,0.911155155032289,0.858067479312282,0.834699879485171,0.899382686586043,0.88512017501345,0.878680799157719,0.866488802498622,0.858126346314769,0.862879542755662,0.846056872295971,0.859657758566072,0.903499317906886,0.902573701898265,0.864981046438981,0.839303057235718,0.942441332208582,0.912507495187901
"GSM616595",0.929846728328104,0.965412154940349,0.96104089561609,0.960857003727388,0.943044396058023,0.956941423427017,0.945862910908575,0.956991538627101,0.937249863506848,0.927310766891835,0.953990902080745,0.964532897427801,1,0.952482568078069,0.959278913565737,0.951745345114491,0.948688533610087,0.950488368525202,0.960726331455069,0.965677761984403,0.95089079947121,0.955243662798026,0.889091617413488,0.880065560977436,0.920967082201431,0.930197850325998,0.903569192782989,0.897009014654173,0.887557503109913,0.913191852615341,0.868520056513586,0.894796078589586,0.921296912931902,0.931971029965255,0.920317830739424,0.8885142938851,0.894123864852029,0.916937276506996,0.90862365763248,0.877172785723604,0.916784729564006,0.902691166404936,0.91287299326534,0.894666601764775,0.92241329565237,0.890301884217583,0.888540874865403,0.901638220904773,0.916194002904896,0.895812865611598,0.902415471708985,0.887448798464115,0.910395941422295,0.903090245995491,0.920651861282961,0.91973491489925,0.90357258678821,0.923211380914182,0.916633091951832,0.884966407764118,0.887623228212975,0.856885884705664,0.915316036484232,0.844209550798337,0.839829433348539,0.88696294370324,0.883647996499086,0.887326518542899,0.878667837470816,0.873960868198772,0.865820680251086,0.847413598053859,0.866097626364672,0.90800702590086,0.897339735308394,0.860937531766575,0.831615549298916,0.934823783138795,0.906465330297184
"GSM616596",0.953934403624766,0.95804331135361,0.918400919739824,0.920399032885596,0.98217778704326,0.902236879452328,0.933051865584085,0.939654847068314,0.970523509033282,0.978498427686736,0.929656040876797,0.94894938577461,0.952482568078069,1,0.979227260609336,0.980964926532239,0.982821468108731,0.9314311141278,0.945311747535051,0.953191737076098,0.910460428424124,0.963535536450026,0.917857768440153,0.911605561200945,0.94084896585661,0.937438330504185,0.902156987763807,0.930648224812859,0.889872791628514,0.917316704008817,0.884621424374315,0.910230587516432,0.952161438884301,0.893232496633876,0.951681939477468,0.915978129667033,0.934383328903962,0.906911688618375,0.916234617305071,0.891101989441523,0.910849555718566,0.897946284414373,0.926577621210096,0.889991580723703,0.934181168087703,0.897127028781622,0.901007823372755,0.912959373927793,0.934960097433677,0.889746993848415,0.920626004396348,0.881173616110099,0.906656479060476,0.905953607605761,0.927262192580974,0.917342003651033,0.906809483428993,0.894746816623474,0.918108694669902,0.910346274019469,0.895486262028297,0.905729642774315,0.912943967230402,0.898167381262419,0.889429123255232,0.907238789898989,0.905108102975348,0.922486423905087,0.896260778091586,0.895243214625732,0.910337467120041,0.898599678927155,0.904482271269753,0.910643096268348,0.934308002494466,0.899506579588112,0.900238913652605,0.948950807469955,0.931706422986207
"GSM616597",0.955488845921093,0.95754676134658,0.926405749732189,0.928676349273996,0.968934846402415,0.916193265705268,0.925375145931395,0.947057801885763,0.971057495628429,0.973482661079601,0.944900187945079,0.958788537202952,0.959278913565737,0.979227260609336,1,0.978640785023731,0.975209295337151,0.939599541042148,0.953005950879452,0.949513134633541,0.924493478992974,0.968532306319007,0.922724211669567,0.916628987972864,0.94724493882848,0.944267449651055,0.916546210315449,0.929364687533433,0.8919324359405,0.917318441154835,0.887288937595131,0.899396328873644,0.945278986413758,0.905658463253869,0.938462600645633,0.918010066588259,0.935332737427819,0.916581973774012,0.92458689874091,0.899276909894608,0.921199873368084,0.904492016782088,0.932391595454475,0.889414821062896,0.930861013161459,0.892015510026562,0.891714169219716,0.89854652993343,0.942253476745446,0.898709913053133,0.912815256602188,0.888644609433051,0.90656232789757,0.897661082801254,0.934081054544423,0.903844248826755,0.913357575544908,0.892025016814459,0.923705949048569,0.896116184096458,0.902797856491389,0.898366959970433,0.921703653762806,0.885782766029247,0.862535820352854,0.91254761748186,0.9036510705329,0.904440090425438,0.884536174634491,0.871521457607284,0.894963502012746,0.874151682510918,0.881380442531049,0.910180833492031,0.927029331028051,0.896658454765093,0.877592262049101,0.951603903544806,0.935536522749833
"GSM616598",0.960015727524135,0.965369803587728,0.927353986528061,0.923760827297903,0.977802179646227,0.912860749927058,0.937977215885647,0.952013301738809,0.967919588743852,0.973937496400282,0.940549399539037,0.954426521808629,0.951745345114491,0.980964926532239,0.978640785023731,1,0.976855649016798,0.939793274287813,0.948506357525599,0.957572546886953,0.924367728245378,0.969587822140131,0.923730316538332,0.916573951581205,0.948299497804368,0.945183398366884,0.915905571857281,0.93741782920691,0.893895152656125,0.919387369292675,0.886673488770583,0.914921184443183,0.949888452340573,0.902157406692738,0.956857398577684,0.920939057365366,0.935551087637917,0.912811824296522,0.922160022618852,0.897062656317019,0.923931654541441,0.90401657935538,0.931006029023323,0.892026376060447,0.9378258793276,0.89395328953823,0.906620298561424,0.911887829350718,0.94082067031859,0.89709984058895,0.920347637807263,0.894171567287472,0.91149201184209,0.910352319413273,0.930797889443107,0.91690679733356,0.913733895065464,0.898382604128868,0.925871381093932,0.9103905982843,0.902315820822838,0.907724903265804,0.920774135662837,0.894960056531707,0.884387739799658,0.912666691664564,0.907221796397465,0.912215678734356,0.895632955659553,0.886745500111871,0.907341611078568,0.893912745933658,0.900782086647781,0.914514786507095,0.93269912691615,0.901062815124182,0.88999829274085,0.954460319593122,0.936105428982883
"GSM616599",0.952826827490335,0.948230864321726,0.908016407872666,0.90699048632071,0.973048613510789,0.89250969165576,0.916519900411334,0.928175727888001,0.969934146262854,0.979775047851583,0.92214918359581,0.938577463178262,0.948688533610087,0.982821468108731,0.975209295337151,0.976855649016798,1,0.921976803357845,0.936543577764378,0.943644961178467,0.896876176229511,0.957772711995757,0.914195771843887,0.908134115296275,0.938660952861548,0.934569051497869,0.899507273230886,0.925840448356877,0.881692181860329,0.910569177277238,0.880878906760222,0.90110653760868,0.949273241425987,0.883332757079784,0.944845578578858,0.914301671627535,0.934417918067829,0.900958465624,0.913853690100557,0.88498281330282,0.905689995939034,0.891433366077107,0.923913901764178,0.881603942803894,0.926527176285647,0.886519759544815,0.891554158906065,0.908959798767928,0.935857883949989,0.882174218484456,0.912815487970152,0.873401744763709,0.895062567887299,0.896732512765209,0.919051962056948,0.905086115294566,0.900104459487767,0.883034295673541,0.913335822000407,0.906213111316743,0.886322555320706,0.897875854097352,0.908276208829376,0.887803796307891,0.88179239517035,0.897787287370863,0.893590114358919,0.920232764039542,0.8940211965107,0.888037935988307,0.908571786984224,0.893470394422275,0.89895674690287,0.905686309741937,0.929852446327633,0.895838422364286,0.893431577035379,0.947260790099117,0.931485549385997
"GSM616600",0.912705720446863,0.954952302582784,0.949634526209031,0.956384175749383,0.924172866935729,0.947631381757596,0.958418356166288,0.964856165228201,0.899390580891417,0.89649291021345,0.946564522770325,0.939332441612606,0.950488368525202,0.9314311141278,0.939599541042148,0.939793274287813,0.921976803357845,1,0.968593131424119,0.969640381868158,0.969392459936537,0.947362415060284,0.886663631732801,0.871503388242549,0.908226340527153,0.916069881364394,0.913288828090765,0.89290990051759,0.886779062602454,0.901727366681404,0.863217176490126,0.886066637574193,0.901120934720161,0.940405984989152,0.911324324361304,0.878063188774952,0.886806394896896,0.920290477033619,0.900177247635071,0.874192304470901,0.917251530635007,0.899132426708674,0.89527115812469,0.894832247653684,0.925142130461405,0.880065430644968,0.886828308758525,0.879944478247733,0.912499834866528,0.896653208977586,0.896864948735543,0.895121222821683,0.912784268518624,0.906564952799177,0.930513736131054,0.905392594605816,0.899637135155585,0.91901121607342,0.919749734494211,0.858254788033282,0.895517845709901,0.852548067458488,0.918305872417243,0.827020108028839,0.830669140902627,0.886265904334815,0.876347616063476,0.855049425942342,0.862826454503534,0.84186071617441,0.84273485215124,0.821630909683294,0.834503540250839,0.894076672149764,0.886195139793727,0.848955275789038,0.812665636769604,0.915509538842325,0.8948451156825
"GSM616601",0.930399259913716,0.964147047703772,0.958315434615187,0.961277901779485,0.94085339403567,0.959526583442424,0.961187060207766,0.972642528405354,0.924061949381981,0.915716840830469,0.966557289425382,0.957541250307141,0.960726331455069,0.945311747535051,0.953005950879452,0.948506357525599,0.936543577764378,0.968593131424119,1,0.973968984685515,0.966901910001939,0.966624752042915,0.897575283290016,0.882288681653074,0.927436942511601,0.925425276241679,0.909896471509436,0.904432166024573,0.884768060779126,0.905378307303789,0.864563794766899,0.888418506992191,0.917271668980758,0.945589492016986,0.922281688179634,0.890503694645928,0.898775192168172,0.925312736063515,0.905435780414149,0.873041340520408,0.922055766188916,0.90546021268785,0.908457257325634,0.91058468989123,0.9287042423164,0.888072311489122,0.890719474817579,0.880377061888329,0.925736433976405,0.893440608118342,0.899253161436524,0.891317163778194,0.913303589990359,0.904576831863484,0.93181274294598,0.905421129938144,0.902950027033217,0.923670496336057,0.923160639649259,0.864361372503335,0.894432790370907,0.855935734076767,0.921643781607435,0.832874298713218,0.827694444287054,0.892516273445379,0.876942764282444,0.866512050590768,0.86770736615999,0.841809850391385,0.848785445087671,0.829107485561648,0.836341853262448,0.900837681843697,0.90079122866623,0.852294124174302,0.823336632661357,0.922771592888911,0.908355756978149
"GSM616602",0.926670862860649,0.97267632111612,0.963112097876543,0.962144525714384,0.949933730895599,0.958839461750959,0.974219464288327,0.972086321119612,0.926310781041827,0.920114267854356,0.956675037999015,0.955882433213006,0.965677761984403,0.953191737076098,0.949513134633541,0.957572546886953,0.943644961178467,0.969640381868158,0.973968984685515,1,0.967418220152132,0.963640233423708,0.887181247039891,0.874787812987803,0.917354204463218,0.923364671550589,0.9060901437675,0.901074801013174,0.889795117623796,0.910151422833628,0.868971962433795,0.904411994325264,0.923344832512645,0.933493011012201,0.935303403229821,0.887396593776071,0.893544658279605,0.915619891534665,0.90371738544148,0.87361532309067,0.919146214273914,0.902867851377077,0.907353455587509,0.897702839314194,0.930240659146584,0.886809662907356,0.903040172224611,0.897940327169897,0.914588188375461,0.895671765073572,0.909199296509963,0.896117010263726,0.919324841924384,0.918872768072647,0.922534938920895,0.922926841843208,0.903360456557376,0.929219529503242,0.923236760978839,0.884089862475657,0.889354789138441,0.860273415189386,0.91792447575698,0.843384912725916,0.849440491983446,0.889834355937379,0.880397005179177,0.878026300792773,0.886413912678699,0.868223978554225,0.864403272074611,0.851811446989496,0.863442604704859,0.909296976782358,0.902319575033371,0.859610510678375,0.833787773053025,0.926239652191136,0.901732086448852
